,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
244,nJPqVFwv4CBCtnuXdZKFhN,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*z'      ,256          ,0                  ,180               ,RobotEEG
245,N8nBfsFNjAN39DL7VsfYdk,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*C*'     ,256          ,0                  ,180               ,onlyEEGData
246,Y8pQSSvhStWkUar2A55ULj,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
247,CzzWqroL6mzYvzhzjixdxY,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*C*'     ,256          ,0                  ,180               ,RobotEEG
248,JtPd2KPUqjJeZFBCTfpRVH,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*'       ,256          ,0                  ,180               ,onlyEEGData
249,LaTtQpH4YY5qcht3suzcy9,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*'       ,256          ,0                  ,180               ,RobotEEGAux
250,en6qtUuGoT38mdv4MP2gHJ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*'       ,256          ,0                  ,180               ,RobotEEG
251,X8EbmcW9N6xYRQVwGmbgEN,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
252,czmbZJpxK2hwYernCvU6bW,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*z'      ,256          ,0                  ,180               ,RobotEEGAux
253,gtnYpHrMCmWGmKJ73VQVWa,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*z'      ,256          ,0                  ,180               ,RobotEEG
254,CUJBbp59h8oBwY56YS2QJ5,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*C*'     ,256          ,0                  ,180               ,onlyEEGData
255,oQ7t9oYsibK7ZaaGdsmTbK,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
256,ZRfDvUS4ssiyywDWnL79K4,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[20, 30]'"    ,'*C*'     ,256          ,0                  ,180               ,RobotEEG
257,DWMNQt5wNJVtTUBbo36rVn,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*'       ,256          ,0                  ,180               ,onlyEEGData
258,bSAt9DJCbv3heYwa5jYGFS,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*'       ,256          ,0                  ,180               ,RobotEEGAux
259,5cBCYRaiUwqW2etjpcm4TH,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*'       ,256          ,0                  ,180               ,RobotEEG
260,Z9RL2SnWTuyampZGiDWi9K,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
261,fVz5vZd7QTESfD3rtoQzkV,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*z'      ,256          ,0                  ,180               ,RobotEEGAux
262,szeRhnuRnThnGbbkfmxqqZ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*z'      ,256          ,0                  ,180               ,RobotEEG
263,cc5hAMRunwCu3j93sRESb5,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*C*'     ,256          ,0                  ,180               ,onlyEEGData
264,QTEnAnEkBeLZBtNxMEJVQf,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
265,jkGFw5h5CT9jx5zvit3yK3,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[30, 40]'"    ,'*C*'     ,256          ,0                  ,180               ,RobotEEG
266,CT9jaAoM2JXQBfFyPQcH3F,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyEEGData
267,7f5xs8meDFgMxUz2zWHydR,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,RobotEEGAux
268,VFXg3R8kv5vbHNQtULcBpB,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,RobotEEG
269,2mxc24pM8yTSxJXqTeYKqD,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*z'      ,256          ,0                  ,180               ,onlyEEGData
270,VfoYUHcHAwwjJAS7siaNch,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*z'      ,256          ,0                  ,180               ,RobotEEGAux
