,Unnamed: 0,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data,config_has_run,mse_train,mse_valid,mse_test,corr_train,corr_valid,corr_test,corr_p_train,corr_p_valid,corr_p_test
20,20,7rjKU6w2LWt32T6eynsuQQ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*C*',256,180,180,onlyEEGData,True,"[0.2902179172234031, 0.06599252823975849, 0.18975393568019414]","[0.3774289091428121, 0.07210949063301086, 0.2346678227186203]","[0.3386416733264923, 0.13031756381193796, 0.1588920106490453]","[0.43914039009247613, 0.6123805255910375, 0.30512707405093503]","[0.006065751112796958, -0.5116530946331846, 0.3696378067306468]","[-0.006442458791129881, 0.23333365471785195, 0.4678836018563477]","[None, None, None]","[None, None, None]","[None, None, None]"
21,21,UgieaX7XYFRxQNZY8rxGJV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*C*',256,180,180,RobotEEGAux,True,"[0.1329100423017449, 0.0556638511589205, 0.07210408749349716]","[0.14712872604529062, 0.05510879059632619, 0.21838197608788806]","[0.16299578547477722, 0.118889552851518, 0.11091352254152298]","[0.7922544738721091, 0.7052908464261765, 0.7970267329615773]","[0.8072522101270321, 0.3594360515258197, 0.6949914791565619]","[0.7171413562789819, 0.4002302097226261, 0.8510104198138332]","[None, None, None]","[None, None, None]","[None, None, None]"
22,22,P9juuB87NZqdCNw4oQ8mmD,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*C*',256,180,180,RobotEEG,True,"[0.1376604419756954, 0.05001226632994976, 0.07651608705442864]","[0.14380017419656116, 0.05283359189828237, 0.22229985396067298]","[0.1468777333696683, 0.1106671616435051, 0.1291528418660164]","[0.7840989478318051, 0.7378899958051861, 0.7818670906548166]","[0.7991186613294742, 0.4082620161773015, 0.7065198183717575]","[0.7404972543573131, 0.46967882043295706, 0.8417793220543748]","[None, None, None]","[None, None, None]","[None, None, None]"
23,23,Xfbhyhk77UMjGoy3uTwkUB,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*',256,180,180,onlyEEGData,True,"[0.3238276387568591, 0.10903196895920172, 0.17438324443646008]","[0.4154021044572194, 0.1029723243167003, 0.1814235597848892]","[0.2876211752494176, 0.14993023375670114, 0.17790639648834866]","[0.3572764791531101, 0.1107868254394838, 0.3413547224637815]","[0.05912851234592328, 0.046047349889009256, 0.1019015755716097]","[0.24942090563634875, -0.22964448808028745, 0.2025521524199372]","[None, None, None]","[None, None, None]","[None, None, None]"
24,24,FLrnCbCgnJ7q4gcwChAzeV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*',256,180,180,RobotEEGAux,True,"[0.18692047770024786, 0.09547934888782686, 0.07383630242137387]","[0.6429862777392069, 0.0818250464896361, 0.1038445457816124]","[1.1035849253336587, 0.12567777434984842, 0.0792815312743187]","[0.6949335678521914, 0.4469526220093912, 0.7907493484789448]","[0.5159116688389583, 0.30229300828945593, 0.6946752294847794]","[0.30638516214614503, 0.35472825689935555, 0.771123201146528]","[None, None, None]","[None, None, None]","[None, None, None]"
25,25,fKvkr5j3VCQy5VxEKxi9pS,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*',256,180,180,RobotEEG,True,"[0.2239727744116694, 0.08891221488579275, 0.07841923524820389]","[0.1950416167577108, 0.10348215575019518, 0.10683868825435637]","[0.18312686185042065, 0.13107090691725412, 0.051931402335564286]","[0.6963062855577593, 0.4440248299516887, 0.775613481401373]","[0.7773508526885583, 0.3112282509558796, 0.7106085114790611]","[0.7220114920685954, 0.3644590004502777, 0.8412908843572189]","[None, None, None]","[None, None, None]","[None, None, None]"
26,26,AntuXZTL4dWSvoCZdYfKBg,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*z',256,180,180,onlyEEGData,True,"[0.3498148914759771, 0.10518455361276456, 0.18773698701479502]","[0.41714879870414734, 0.12823771809538204, 0.1800183355808258]","[0.2955439885457357, 0.15553611516952515, 0.17045846333106354]","[0.22828184081256106, 0.05184370348389663, 0.2179314766989496]","[0.06135569789507739, -0.05371816999011575, 0.06633831837009621]","[0.15478255840229574, 0.09583356172691633, 0.2743200925935759]","[None, None, None]","[None, None, None]","[None, None, None]"
27,27,mRkGZTYpttorpHU4kXgMBf,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*z',256,180,180,RobotEEGAux,True,"[0.1984250205722813, 0.09126066140605156, 0.0828336130637737]","[0.15647097925345102, 0.11748632540305455, 0.09554621080557504]","[0.15641696502765018, 0.15082565198342004, 0.044963814318180084]","[0.7053415302663008, 0.3910731099711557, 0.7624617377416109]","[0.7910976094881679, 0.5605803447387262, 0.7114344059758637]","[0.7333705305038624, 0.3709226589327536, 0.8628922964658652]","[None, None, None]","[None, None, None]","[None, None, None]"
28,28,foQhYaU673XcojLsaUBdrM,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*z',256,180,180,RobotEEG,True,"[0.21627058266788887, 0.08783770513428013, 0.08487093146099284]","[0.16502332190672556, 0.139954241613547, 0.10141086330016454]","[0.1670885682106018, 0.1526653207838535, 0.04772010383506616]","[0.6920925717575307, 0.4119641875204968, 0.7570655043030463]","[0.7999532151532809, 0.3201337452686701, 0.7117413430386156]","[0.7405058755166208, 0.3784489821509016, 0.8525670915177089]","[None, None, None]","[None, None, None]","[None, None, None]"
29,29,LevigRTzLgtW3WV8cmwbbE,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*C*',256,180,180,onlyEEGData,True,"[0.3408347869518541, 0.10630994763372144, 0.19611614212148498]","[0.41556580861409503, 0.14868291343251866, 0.17747783164183298]","[0.2968360632658005, 0.16956718017657596, 0.18151922523975367]","[0.2947917323060837, 0.044920767428597116, 0.12287252026794927]","[0.14918897573356646, -0.04528490412021755, 0.032078887912276664]","[0.20973830154991813, 0.0590586626719496, 0.1689800489938499]","[None, None, None]","[None, None, None]","[None, None, None]"
